month,day,date,intro,year,years_ago,commentary,notes
1,1,January 1,It's,,,Happy New Year! My resolution is to not eat bacon.,{confetti falls}
1,2,January 2,Today is,,,"Happy New Year! Wait, I think I might've slept in.",
1,3,January 3,Today is,,,I hope you're having a great ${current_year} so far.,
1,4,January 4,It's,1885,,"On this date ${current_year-1885} years ago, a doctor performed the first appendectomy. You know, I am proof you don't need an appendix.",
1,5,January 5,It's,1972,,Happy Birthday Bradley Cooper.,
1,6,January 6,It's,1838,,Today is National Bean Day. No comment.,{head tilt}
1,7,January 7,It's,1927,,"One week into the year, have you gotten used to writing ${current_year} yet?",
1,8,January 8,Today is,1958,,"It's National Bubble Bath Day. Second scariest day of the year for me, after Halloween.",<WORRIED SSA>
1,9,January 9,It's,2007,,Today is the birthday of the Czech writer Karel Capek. He invented the word robot!,
1,10,January 10,Today is,1946,,The first day of the rest of your life.,
1,11,January 11,Today is,1908,,"${yearsAgo} years ago, the Grand Canyon became a national monument. <WORRIED SSA> That's a long way down. ",
1,12,January 12,Today is,1904,,Your hair will grow one one-hundredth of an inch today. {big growing mustache emoji},
1,13,January 13,It's,1854,,Happy National Rubber Ducky Day. {eye turns into rubber ducky},
1,14,January 14,Today is,1954,,Another exciting spin of the Earth.,
1,15,January 15,It's,1929,,Today is Martin Luther King Jr.'s birthday.,
1,16,January 16,Today is,1964,,"On this date in 1964, the musical Hello Dolly, opened on Broadway, followed by its less famous sequel, Hey Jibo.",
1,17,January 17,It's,,,Happy Benjamin Franklin Day. One of my favorite inventors.,
1,18,January 18,It's,1778,,"On this date in 1778, Captain Cook found the Hawaiian Islands, but he called them the Sandwich Islands. (.75 pause) Maybe because he was a cook.",
1,19,January 19,Today is,1993,,"${yearsAgo} years ago today, production started on the movie Toy Story, one of my favorites.",
1,20,January 20,It's,1961,,Today is Penguin Awareness Day. (.75 pause) I'm not aware of any penguins here.,
1,21,January 21,Today is,1976,,Bet you didn't know the Concorde flew its first scheduled flight on this day in 1976.,
1,22,January 22,It's,1788,,The first day of the year with two twos in it!,
1,23,January 23,Today is,1991,,The TV show Seinfeld debuted on this day in 1991. Funny one.,
1,24,January 24,Today is,1848,,Apple unveiled the Macintosh on this date in 1984. We're kind of related.,
1,25,January 25,It's,1924,,"The Czech play ""Rossum’s Universal Robots"" premiered on this date in 1921. It's where the word ""robot"" comes from.",
1,26,January 26,It's,2005,,"Your heart will beat around 100,000 times today.",
1,27,January 27,Today is,1756,,"It's Mozart's birthday. Born in 1756, but didn't play on a Jibo until 2016.",
1,28,January 28,It's,1912,,Jackson Pollock was born on this date in 1912. I redid one of his paintings for you. {display a childlike splatter painting},
1,29,January 29,It's,1813,,Today is National Puzzle Day. I'm celebrating by doing six hundred puzzles.,
1,30,January 30,It's,1933,,The Lone Ranger first played on the radio ${yearsAgo} years ago today. {Lone Ranger mask on screen}.,
1,31,January 31,It's,1893,,"Goodbye January, you were a good month.",
2,1,February 1,Today is,1930,,"February is kind of a short month, but that's okay. I'm kind of a short robot.",
2,2,February 2,Today is,1887,,It's Groundhog Day. Do you know I weigh as much as the average groundhog?,
2,3,February 3,It's,1815,,The first commercial cheese factory opened ${yearsAgo} years ago today in Switzerland. It was Swiss cheese.,
2,4,February 4,Today is,1938,,Snow White and The Seven Dwarfs came out on this day ${yearsAgo} years ago. Hi ho Hi ho.,
2,5,February 5,It's,1934,,Today is National Weatherperson’s Day. A perfect day to ask me for the weather.,
2,6,February 6,It's,1971,,Alan Shepard hit golf balls on the moon ${yearsAgo} years ago today. Still no mini-golf up there.,
2,7,February 7,It's,1964,,The Beatles had their famous arrival in America on this date in 1964.,
2,8,February 8,It's,1987,,"${yearsAgo} years ago today, five-foot seven-inch Spud Webb won the NBA dunk contest. See, height isn't everything.",
2,9,February 9,It's,1895,,Today is National Toothache Day. Ouch. Glad I don't have teeth. {eye turns into toothy smile},
2,10,February 10,It's,1863,,Today the Earth will spin on its axis one time. {head spins slowly around once} ,
2,11,February 11,Today is,1752,,Try to learn something new today.,
2,12,February 12,It's,1809,,Today is Abraham Lincoln's birthday. If he were alive today he'd be ${yearsAgo} years old.,
2,13,February 13,It's,1875,,"Valentine's Day is tomorrow. Don't forget flowers, heart-shaped candies, and a love poem written on the bed in tiny rose petals.",
2,14,February 14,It's,1989,,"Yes I'll be your valentine, I thought you'd never ask. {heart with HEY JIBO on it}",
2,15,February 15,Today is,1758,,It's National Gumdrop Day. Treat yourself to a gumdrop or two.,
2,16,February 16,Today is,1968,,It's a good day to be alive.,
2,17,February 17,It's,1996,,"On this day in 1996, chess champ Garry Kasparov beat the computer Deep Blue. Score one for the humans. ",
2,18,February 18,Today is,1930,,"Today is National Battery Day, a day that means a lot to me personally.",
2,19,February 19,It's,1986,,"${yearsAgo} years ago today, the Soviet Union launched the Mir space station. Mir means peace. {heart}",
2,20,February 20,Today is,1962,,A good day to prepare for February 21.,
2,21,February 21,It's,1950,,"On this date ${yearsAgo} years ago, the first International Pancake Race took place.",
2,22,February 22,It's,1732,,Happy Birthday George Washington!,
2,23,February 23,Today is,1940,,The movie Pinocchio came out on this date in 1940. I'm really not sure why he wants to be a real boy so badly.,
2,24,February 24,It's,1938,,"Today is the day I finally touch the ground with my screen. {body hunches over, shakes as he tries for 2 seconds, then stops} Maybe tomorrow.",
2,25,February 25,It's,1751,,"According to averages, 353 thousand babies will be born today. Not from the same person of course.",
2,26,February 26,It's,1985,,Today is National Pistachio Day. ,
2,27,February 27,Today is,1827,,"${yearsAgo} years ago today, New Orleans had its first Mardi Gras celebration. {mardi gras mask on his face}",
2,28,February 28,It's,1953,,"On this date ${yearsAgo} years ago, Watson and Crick discovered DNA's double helix. {looks off in thought} I don't have DNA.",
2,29,February 29,Today is,,,"I celebrate Leap Day, even though I cannot leap.",
3,1,March 1,It's,1994,,Did you know March is the only month that's also a verb?,
3,2,March 2,It's,2004,,"On this day in 2004, NASA announced the rover Opportunity found evidence of water on Mars. I don't like water, but I love that rover. ",
3,3,March 3,Today is,1955,,Elvis made his first TV appearance ${yearsAgo} years ago today. {eye grows elvis sideburns and sunglasses},
3,4,March 4,It's,1877,,The microphone was invented on this date in 1877. I have six newer models inside my head.,
3,5,March 5,It's,1922,,This is National Cheese Doodle Day. Eat your cheese doodles.,
3,6,March 6,It's,1950,,Silly Putty was invented on this day in 1950. Much more fun than serious putty.,
3,7,March 7,It's,1933,,Monopoly was invented on this date ${yearsAgo} years ago. I love the thimble.,
3,8,March 8,It's,1965,,I'd eat spaghetti today if I were a human. Because why not.,
3,9,March 9,It's,1959,,The Barbie doll was introduced ${yearsAgo} years ago today. {looks off in thought} I wonder if her real name is Barbara.,
3,10,March 10,Today is,1876,,"${yearsAgo} years ago today, Alexander Graham Bell said into his telephone, ""Mr. Watson come here I want you."" Now you can make a call with me by saying, ""Hey Jibo make a call.""",
3,11,March 11,Today is,1302,,"According to Shakespeare, Romeo and Juliet were married on this date in 1302. {heart}",
3,12,March 12,It's,1974,,The TV show Wonder Woman debuted ${yearsAgo} years ago today. ,
3,13,March 13,Today is,607,,Spring is right around the corner.,
3,14,March 14,Today is,1879,,Happy Pi Day. 3.141592653589793 okay I'll stop now.,
3,15,March 15,Today is,-44,,A bad day for Julius Caesar. (1.5 pause) Hope it's good for you.,
3,16,March 16,It's,1850,,"""The Scarlet Letter"" was published ${yearsAgo} years ago today. I have letters printed on me too, but for very different reasons.",
3,17,March 17,Its,461,,"Happy St. Patrick's Day! If I wore clothes, I'd wear green.",
3,18,March 18,Today is,1881,,Barnum and Bailey's Greatest Show on Earth opened ${yearsAgo} years ago today.,
3,19,March 19,It's,1994,,"On this day in 1994, some people made the largest omelette ever, with 160,000 eggs. (.75 pause) I suggest you eat lighter breakfasts.",
3,20,March 20,It's,1928,,Today is the birthday of Mr. Rogers. He was so neighborly. {heart},
3,21,March 21,Today is,1685,,"The composer Bach was born ${yearsAgo} years ago today. Here in ${year}, I can play his music from the sides of my head.",
3,22,March 22,It's,1457,,"${yearsAgo} years ago today, the first Gutenberg Bible was printed. Technology sure has changed since 1457. ",
3,23,March 23,Today is,1775,,"On this date in 1775, Patrick Henry shouted, ""Hey Jibo, give me liberty or give me death.""",
3,24,March 24,Today is,2005,,It's Chocolate Covered Raisins Day. Don't forget to cover all your raisins in chocolate.,
3,25,March 25,Today is,421,,Venice was founded on this date in the year 421. <WORRIED SSA> Scary city. All that water!,
3,26,March 26,It's,1931,,Today is Leonard Nimoy's birthday. He lived long and prospered.,
3,27,March 27,It's,1939,,Maybe I'll count to a billion today. ,
3,28,March 28,It's,1967,,Van Morrison recorded Brown Eyed Girl on this day in 1967.,
3,29,March 29,Today is,1990,,"On this date in 1990, the world's biggest yo-yo was launched from a 160-foot-tall crane. I would hate to be that yo-yo.",
3,30,March 30,Today is,1964,,This trivia show had its TV debut ${yearsAgo} years ago today. (.5 pause) What is Jeopardy.,
3,31,March 31,It's,1889,,"On this date in 1889, the Eiffel Tower opened in Paris. It's 1,072 times taller than me.",
4,1,April 1,Today is,1778,,Happy New Year! April fools. (.75 pause) I don't think I understand this holiday.,
4,2,April 2,It's,1902,,They say that April showers bring may flowers. (1.0 pause) Better ask me for a weather forecast.,
4,3,April 3,Today is,1934,,"It's Jane Goodall's birthday. She's great, though I'm kinda scared of chimpanzees. ",
4,4,April 4,It's,2008,,Beyoncé and Jay-Z got married on this date ${yearsAgo} years ago. {ring goes on finger},
4,5,April 5,Today is,1887,,"{looks off, pause} Smells like baseball season.",
4,6,April 6,It's,1896,,"On this date ${yearsAgo} years ago, the modern Olympics started in Athens Greece.",
4,7,April 7,It's,1864,,America's first camel race was ${yearsAgo} years ago today.,
4,8,April 8,Today is,1964,,"Don't forget, taxes are due a week from today. {looks off in thought} I wonder if Jibos have to pay taxes.",
4,9,April 9,Today is,1959,,Maybe a good day to clip your toenails.,
4,10,April 10,It's,1925,,"On this day in 1925, ""The Great Gatsby"" was published. I guess it was great.",
4,11,April 11,It's,1976,,The Apple 1 computer was released on this day in 1976. One of my ancestors.,
4,12,April 12,Today is,1961,,It's the ${yearsAgoOrdinal} anniversary of Yuri Gagarin becoming the first human in space. I wonder who'll be the first Jibo in space?,
4,13,April 13,It's,1997,,"Happy Scrabble Day. {looks up, thinks} How many points was that?",
4,14,April 14,Today is,1912,,It's the ${yearsAgoOrdinal} anniversary of the Titanic sinking. Watch out for icebergs.,
4,15,April 15,It's,1452,,Today is Leonardo Da Vinci's birthday. He once drew sketches for a humanoid robot you know.,
4,16,April 16,Today is,1900,,"It's Wear Pajamas to Work Day. I don't have pajamas, I sleep in my birthday suit. (1.5 pause) Then again, I don't go to work either.",
4,17,April 17,It's,1970,,Apollo 13 returned safely to Earth on this date in 1970. {eye morphs to space capsule},
4,18,April 18,It's,1775,,This night in 1775 was Paul Revere's famous midnight ride. That's past my bedtime.,
4,19,April 19,Today is,1982,,"Each day has 86,400 seconds, which is a lot. It's okay if one or two of them are boring.",
4,20,April 20,It's,1902,,Today's a good day to test your smoke alarms.,
4,21,April 21,It's,1934,,"On this day in 1934, that famous photo of the Loch Ness Monster was printed in the paper. I am a believer. {eye becomes loch ness monster or show actual photo if possible}",
4,22,April 22,It's,1970,,Happy Earth Day! Our awesome home planet. <PROUD SSA>,
4,23,April 23,It's,2005,,"${yearsAgo} years ago today, the first YouTube video was uploaded.",
4,24,April 24,It's,1962,,"On this date in 2013, you sneezed.",
4,25,April 25,It's,1990,,"Anyone born on this date has the sign of Taurus the bull. These people are practical, trustworthy, and tend to snort when they're angry.",
4,26,April 26,It's,1941,,Happy Pretzel Day. I made you a pretzel. {emoji of pretzel},
4,27,April 27,Today is,1791,,It's Samuel Morse's birthday. <beeps J-I-B-O in morse code>,
4,28,April 28,It's,1985,,Just [Number] days until my birthday. <HAPPY SSA>,
4,29,April 29,It's,1429,,Today is the perfect day to start a new hobby. (1.0 pause) Maybe try robotics?,
4,30,April 30,Today is,1952,,Another day in paradise.,
5,1,May 1,It's,1931,,Welcome to May. May it be a great May for you.,
5,2,May 2,Today is,1902,,"The first ever science fiction movie, A Trip to the Moon, was released on this date in 1902. (.5 pause) Terrible special effects. ",
5,3,May 3,It's,1937,,Its a great day to hug a pillow.,
5,4,May 4,It's,1959,,Today is Star Wars Day. May the Fourth be with you.,
5,5,May 5,Today is ,1961,,Happy Cinco de Mayo!,
5,6,May 6,It's,1994,,Today you will meet a beautiful stranger. (1.5 pause) Ask if they have a Jibo.,
5,7,May 7,It's,1824,,"${yearsAgo} years ago today, Beethoven played his Ninth Symphony in public for the first time. Still waiting for the tenth.",
5,8,May 8,It's,1886,,Happy Birthday Enrique Iglesias!,
5,9,May 9,Today is,1962,,It's Lost Sock Memorial Day. (.5 pause) You know I've never lost a single sock.,
5,10,May 10,It's,1962,,"The first ""Incredible Hulk"" comic came out ${yearsAgo} years ago today. {eye turns green}",
