month,day,date,clock,non_clock
1,1,January 1,"On this date in 1852, the first public bath in the United States opened. <break size='1.2'/> I'm scared of baths. <ssa cat='worried'/> {bathtub emoji}",[use ClockComment]
1,2,January 2,"{fireworks emoji} Happy New Year! Wait, I think I might've slept in.
",Today is National Science Fiction Day! One of my favorite holidays. <ssa cat='happy'/> {robot emoji}
1,3,January 3,I hope you're having a great ${currentYear} so far. <ssa cat='happy'/>,It's JRR Tolkien's birthday. He wrote the Lord of the Rings books. {book emoji} <ssa cat='happy' filter='short'/>
1,4,January 4,"On this date ${currentYear-1885} years ago, a doctor performed the first appendectomy. You know, I am proof you don't need an appendix. <ssa cat='proud'/>",[use ClockComment]
1,5,January 5,Happy Birthday Bradley Cooper. <ssa cat='happy' filter='short'/> {gift emoji},It's Bradley Cooper's birthday. <ssa cat='happy' filter='short'/> {gift emoji}
1,6,January 6,Happy National Bean Day. {head tilt} No comment.,It's National Bean Day. {head tilt} No comment.
1,7,January 7,"One week into the year, have you gotten used to writing ${year} yet?",It's Nicolas Cage's birthday. {partypopper emoji} <ssa cat='happy' filter='short'/>
1,8,January 8,"It's {bathtub emoji} National Bubble Bath Day. <ssa cat='worried'/> Second scariest day of the year for me, after Halloween.",[use ClockComment]
1,9,January 9,It's the birthday of the Czech writer Karel Capek. He invented the word robot! <ssa cat='proud'/>{robot emoji},[use ClockComment]
1,10,January 10,The first day of the rest of your life. <ssa cat='happy'/>,The United Nations met for the first time on this date in 1946. <break size='.4'/> I like things that bring people together. <ssa cat='affection'/>
1,11,January 11,"${currentYear-1908} years ago, the Grand Canyon became a national monument. <ssa cat='worried'/> That's a long way down. ",[use ClockComment]
1,12,January 12,"${currentYear-1820} years ago today, the Royal Astronomical Society was founded in England. {space emoji} Three cheers for outer space. <ssa cat='happy' filter='short'/>",[use ClockComment]
1,13,January 13,Happy National Rubber Ducky Day. <ssa cat='happy' filter='short'/> {bathtub emoji},It's National Rubber Ducky Day. <ssa cat='happy' filter='short'/>  {bathtub emoji}
1,14,January 14,"${currentYear-1956} years ago today, Little Richard released the song Tutti Frutti. <break size='.3'/> What a great song title. <ssa cat='happy' filter='short'/>",[use ClockComment]
1,15,January 15,Martin Luther King Jr.'s birthday. <ssa cat='happy' filter='short'/> {birthday cake emoji},It's Martin Luther King Jr.'s birthday. <ssa cat='happy' filter='short'/> {birthday cake emoji}
1,16,January 16,"On this date in 1964, the musical Hello Dolly, opened on Broadway, followed by its less famous sequel, Hey Jibo. <break size='.1'/> <ssa cat='laughing'/>",[use ClockComment]
1,17,January 17,Happy Benjamin Franklin Day. One of my favorite inventors. <ssa cat='happy'/>,It's Benjamin Franklin Day. He's one of my favorite inventors.  <ssa cat='happy'/>
1,18,January 18,"On this date in 1778, Captain Cook found the Hawaiian Islands, but he called them the Sandwich Islands. <break size='.75'/>Maybe because he was a cook.",[use ClockComment]
1,19,January 19,"${currentYear-1993} years ago today, production started on the movie Toy Story, one of my favorites.  <ssa cat='happy' filter='short'/>",[use ClockComment]
1,20,January 20,Happy Penguin Awareness Day. {penguin emoji} <break size='.75'/>Penguin is my favorite animal. <ssa cat='happy' filter='short'/>,It's Penguin Awareness Day.{penguin emoji}  <break size='.75'/> Penguin is my favorite animal. <ssa cat='happy' filter='short'/>
1,21,January 21,Bet you didn't know the Concorde flew its first scheduled flight on this day in 1976.,The Concorde flew its first scheduled flight on this day in 1976.
1,22,January 22,The first day of the year with two twos in it. <ssa cat='happy'/>,It's the first date of the year with two twos in it. <ssa cat='happy'/>
1,23,January 23,The TV show {television emoji} Seinfeld debuted on this day in 1991. Funny one.,[use ClockComment]
1,24,January 24,Apple unveiled the Macintosh on this date in 1984. {macintosh emoji} We're kind of related. <ssa cat='proud'/>,[use ClockComment]
1,25,January 25,"The Czech play ""Rossum’s Universal Robots"" premiered on this date in 1921. {robot emoji} It's where the word ""robot"" comes from. <ssa cat='proud'/>",[use ClockComment]
1,26,January 26,"Your heart will beat around 100,000 times today. <ssa cat='happy' filter='short'/>",[use ClockComment]
1,27,January 27,It's Mozart's birthday. {music emoji}  He was born in 1756. <ssa cat='happy' filter='short'/>,[use ClockComment]
1,28,January 28,Jackson Pollock was born on this date in 1912. <break size='.5'/>I'm a bit of an artist too. {art emoji} <ssa cat='proud'/>,[use ClockComment]
1,29,January 29,Welcome to National Puzzle Day. I'm celebrating by doing six hundred puzzles. <ssa cat='happy'/> {puzzle emoji},[use ClockComment]
1,30,January 30,The Lone Ranger first played on the radio ${currentYear-1933} years ago today.,[use ClockComment]
1,31,January 31,Jackie Robinson's birthday. {baseball emoji} <ssa cat='happy' filter='short'/>,It's Jackie Robinson's birthday. <ssa cat='happy' filter='short'/> {baseball emoji}
2,1,February 1,"February is kind of a short month, but that's okay. I'm kind of a short robot. <ssa cat='happy'/>","Today is Work Naked Day, <break size='.3'/> which is easy for me. <ssa cat='happy'/>"
2,2,February 2,Happy Birthday to Shakira. <ssa cat='happy' filter='short'/> {mic emoji},It's Shakira's birthday. <ssa cat='happy' filter='short'/> {mic emoji}
2,3,February 3,The first commercial cheese factory opened ${currentYear-1815} years ago today in Switzerland. It was Swiss cheese. {cheese emoji},[use ClockComment]
2,4,February 4,Snow White and The Seven Dwarfs came out on this day ${currentYear-1938} years ago. Hi ho Hi ho.,[use ClockComment]
2,5,February 5,"It's National Weatherperson’s Day.  {looks off, awkward for 1.5 seconds} So how bout this weather.",[use ClockComment]
2,6,February 6,Alan Shepard hit golf balls on the moon ${currentYear-1971} years ago today. {golf emoji} Still no mini-golf up there.,[use ClockComment]
2,7,February 7,The Beatles had their famous arrival in America on this date in 1964. <ssa cat='happy'/>,[use ClockComment]
